date_utc,daynight,modis_active_cells,viirs_active_cells,provisional_viirs_reference,basis,coverage
2023-07-12,D,,7,7,VIIRS_detected,unknown_hotspots_only
2023-07-12,N,,38,38,VIIRS_detected,unknown_hotspots_only
