latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.16154,-122.56596,298.02,0.38,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,283.67,0.49,N
38.30185,-122.75002,295.53,0.38,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,285.27,0.64,N
38.73335,-120.80278,305.14,0.39,0.36,2023-07-12,1004,N,VIIRS,n,2.0NRT,289.48,0.63,N
39.49084,-119.62112,302.75,0.41,0.37,2023-07-12,1004,N,VIIRS,n,2.0NRT,287.95,0.53,N
32.22922,-115.0169,331.72,0.7,0.7,2023-07-12,1942,N,VIIRS,n,2.0URT,295.44,3.64,D
32.23575,-115.01949,332.69,0.7,0.7,2023-07-12,1942,N,VIIRS,n,2.0URT,296.64,5.09,D
32.23078,-115.01924,340.93,0.7,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,296.13,9.79,D
32.26811,-116.36712,367,0.8,0.8,2023-07-12,1943,N,VIIRS,h,2.0URT,298.94,23.32,D
32.27083,-116.36922,367,0.8,0.8,2023-07-12,1943,N,VIIRS,h,2.0URT,298.7,13.58,D
32.29231,-116.28671,350.91,0.8,0.8,2023-07-12,1943,N,VIIRS,n,2.0URT,297.5,15.17,D
32.29509,-116.2902,356.87,0.8,0.8,2023-07-12,1943,N,VIIRS,n,2.0URT,299.16,12.61,D
32.29783,-116.28127,341.16,0.8,0.8,2023-07-12,1943,N,VIIRS,n,2.0URT,295.13,12.61,D
32.29856,-116.29165,350.12,0.8,0.8,2023-07-12,1943,N,VIIRS,n,2.0URT,297.08,15.17,D
32.30125,-116.28268,332.95,0.8,0.8,2023-07-12,1943,N,VIIRS,n,2.0URT,295.27,19.57,D
32.48154,-115.14564,367,0.7,0.7,2023-07-12,1943,N,VIIRS,h,2.0URT,298.3,13.49,D
32.48808,-115.14825,353.96,0.7,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,296.49,9.58,D
33.79657,-114.46552,343.66,0.6,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,303.09,13.21,D
35.5584,-115.46896,332.82,0.6,0.7,2023-07-12,1943,N,VIIRS,l,2.0URT,304.09,3.45,D
35.55886,-115.47186,344.95,0.6,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,304.37,7.28,D
35.57533,-115.48199,339.88,0.6,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,303.25,4.85,D
35.57581,-115.48477,347.35,0.6,0.7,2023-07-12,1943,N,VIIRS,n,2.0URT,303.17,6.72,D
